appid,name,type,is_free,short_description,detailed_description,developers,publishers,price,genres,categories,release_date,platforms,metacritic_score,recommendations
130,Half-Life: Blue Shift,game,False,"Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life, Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun, the security guard sidekick who helped Gordon out of so many sticky situations.","Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life, Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun, the security guard sidekick who helped Gordon out of so many sticky situations.",Gearbox Software,Valve,$4.99,Action,"Single-player, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Family Sharing","Jun 1, 2001","{'windows': True, 'mac': True, 'linux': True}",71.0,16585.0
150,Counter-Strike Beta,advertising,False,,,,,Free,Action,Family Sharing,,"{'windows': True, 'mac': False, 'linux': False}",,
219,Half-Life 2: Demo,demo,True,"Half-Life 2 defines a new benchmark in gaming with startling realism and responsiveness. Powered by Source&trade; technology, Half-Life 2 features the most sophisticated in-game characters ever witnessed, advanced AI, stunning graphics and physical gameplay.","Half-Life 2 defines a new benchmark in gaming with startling realism and responsiveness. Powered by Source&trade; technology, Half-Life 2 features the most sophisticated in-game characters ever witnessed, advanced AI, stunning graphics and physical gameplay.",Valve,,Free,Action,"Single-player, Game demo","Dec 1, 2004","{'windows': True, 'mac': True, 'linux': False}",96.0,
220,Half-Life 2,game,False,"Reawakened from stasis in the occupied metropolis of City 17, Gordon Freeman is joined by Alyx Vance as he leads a desperate human resistance. Experience the landmark first-person shooter packed with immersive world-building, boundary-pushing physics, and exhilarating combat.","<p class=""bb_paragraph""><i>The Seven Hour War is lost. Earth has surrendered. The Black Mesa incident is a distant memory.</i> The player again picks up the crowbar of research scientist Gordon Freeman, who finds himself on an alien-infested Earth being picked to the bone, its resources depleted, its populace dwindling. Freeman is thrust into the unenviable role of rescuing the world from the wrong he unleashed back at Black Mesa. And a lot of people he cares about are counting on him.</p><p class=""bb_paragraph"">Half-Life 2 is the landmark first-person shooter that “forged the framework for the next generation of games” (PC Gamer). Experience a thrilling campaign packed with unprecedented levels of immersive world-building, boundary-pushing physics, and exhilarating combat.</p><p class=""bb_paragraph""> </p><h2 class=""bb_tag"">Includes the Half-Life 2 Episode One and Two Expansions</h2><p class=""bb_paragraph"">The story of Half-Life 2 continues with Episodes One and Two, full-featured Half-Life adventures set during the aftermath of the base game. They are accessible from the main menu, and you will automatically advance to the next episode after completing each one.</p><p class=""bb_paragraph""><div class=""bb_img_ctn""><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/220/extras/boxes.png?t=1745368545"" /></div></p><h2 class=""bb_tag""> Half-Life 2: Deathmatch</h2><p class=""bb_paragraph"">Fast multiplayer action set in the Half-Life 2 universe! HL2's physics adds a new dimension to deathmatch play. Play straight deathmatch or try Combine vs. Resistance teamplay. Toss a toilet at your friend today! <i>Included in your Steam library with purchase of Half-Life 2.</i></p><p class=""bb_paragraph""><div class=""bb_img_ctn""><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/220/extras/deathmatch.png?t=1745368545"" /></div></p><h2 class=""bb_tag"">Steam Workshop</h2><p class=""bb_paragraph"">Play entire campaigns or replace weapons, enemies, UI, and more with content created by the community.</p>",Valve,Valve,"9,75€",Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing, Steam Timeline","16 Nov, 2004","{'windows': True, 'mac': False, 'linux': True}",96.0,182814.0
240,Counter-Strike: Source,game,False,Counter-Strike: Source blends Counter-Strike's award-winning teamplay action with the advanced technology of Source™ technology.,"THE NEXT INSTALLMENT OF THE WORLD'S # 1 ONLINE ACTION GAME <br />
Counter-Strike: Source blends Counter-Strike's award-winning teamplay action with the advanced technology of Source™ technology. Featuring state of the art graphics, all new sounds, and introducing physics, Counter-Strike: Source is a must-have for every action gamer.",Valve,Valve,$9.99,Action,"Multi-player, Cross-Platform Multiplayer, Steam Achievements, Camera Comfort, Color Alternatives, Custom Volume Controls, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes Source SDK, Family Sharing","Nov 1, 2004","{'windows': True, 'mac': False, 'linux': True}",88.0,127415.0
280,Half-Life: Source,game,False,"Winner of over 50 Game of the Year awards, Half-Life set new standards for action games when it was released in 1998. Half-Life: Source is a digitally remastered version of the critically acclaimed and best selling PC game, enhanced via Source technology to include physics simulation, enhanced effects, and more.","Winner of over 50 Game of the Year awards, Half-Life set new standards for action games when it was released in 1998. Half-Life: Source is a digitally remastered version of the critically acclaimed and best selling PC game, enhanced via Source technology to include physics simulation, enhanced effects, and more.",Valve,Valve,$9.99,Action,"Single-player, Remote Play Together, Family Sharing","Jun 1, 2004","{'windows': True, 'mac': True, 'linux': True}",,14087.0
300,Day of Defeat: Source,game,False,Valve's WWII Multiplayer Classic - Now available for Mac.,"Day of Defeat offers intense online action gameplay set in Europe during WWII. Assume the role of infantry, sniper or machine-gunner classes, and more. DoD:S features enhanced graphics and sounds design to leverage the power of Source, Valve's new engine technology.",Valve,Valve,$9.99,Action,"Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Stereo Sound, Surround Sound, Valve Anti-Cheat enabled, Stats, Includes Source SDK, Family Sharing","Jul 12, 2010","{'windows': True, 'mac': False, 'linux': True}",80.0,15354.0
320,Half-Life 2: Deathmatch,game,False,Fast multiplayer action set in the Half-Life 2 universe! HL2's physics adds a new dimension to deathmatch play. Play straight deathmatch or try Combine vs. Resistance teamplay. Toss a toilet at your friend today!,Fast multiplayer action set in the Half-Life 2 universe! HL2's physics adds a new dimension to deathmatch play. Play straight deathmatch or try Combine vs. Resistance teamplay. Toss a toilet at your friend today!,Valve,Valve,Free,Action,"Multi-player, Custom Volume Controls, Playable without Timed Input, Stereo Sound, Surround Sound, Valve Anti-Cheat enabled, Includes Source SDK, Family Sharing","1 Nov, 2004","{'windows': True, 'mac': False, 'linux': True}",,9625.0
340,Half-Life 2: Lost Coast,game,False,"Originally planned as a section of the Highway 17 chapter of Half-Life 2, Lost Coast is a playable technology showcase that introduces High Dynamic Range lighting to the Source engine.","Originally planned as a section of the Highway 17 chapter of Half-Life 2, Lost Coast is a playable technology showcase that introduces High Dynamic Range lighting to the Source engine.",Valve,Valve,Free,Action,"Single-player, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Subtitle Options, Surround Sound, Commentary available, Family Sharing","Oct 27, 2005","{'windows': True, 'mac': False, 'linux': True}",,10657.0
360,Half-Life Deathmatch: Source,game,False,"Half-Life Deathmatch: Source is a recreation of the first multiplayer game set in the Half-Life universe. Features all the classic weapons and most-played maps, now running on the Source engine.","Half-Life Deathmatch: Source is a recreation of the first multiplayer game set in the Half-Life universe. Features all the classic weapons and most-played maps, now running on the Source engine.",Valve,Valve,$9.99,Action,"Multi-player, Camera Comfort, Custom Volume Controls, Playable without Timed Input, Stereo Sound, Surround Sound, Valve Anti-Cheat enabled, Family Sharing","May 1, 2006","{'windows': True, 'mac': False, 'linux': True}",,3963.0
380,Half-Life 2: Episode One,game,False,"Half-Life 2 has sold over 4 million copies worldwide, and earned over 35 Game of the Year Awards. Episode One is the first in a series of games that reveal the aftermath of Half-Life 2 and launch a journey beyond City 17. Also features two multiplayer games. Half-Life 2 not required.","Half-Life 2 has sold over 4 million copies worldwide, and earned over 35 Game of the Year Awards. Episode One is the first in a series of games that reveal the aftermath of Half-Life 2 and launch a journey beyond City 17. Also features two multiplayer games. Half-Life 2 not required.",Valve,Valve,Free,Action,"Single-player, Steam Achievements, Full controller support, Captions available, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Surround Sound, Steam Cloud, Stats, Includes Source SDK, Commentary available, Family Sharing","Jun 1, 2006","{'windows': True, 'mac': False, 'linux': True}",87.0,26200.0
400,Portal,game,False,"Portal™ is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.","Portal™ is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.<br />
					The game is designed to change the way players approach, manipulate, and surmise the possibilities in a given environment; similar to how Half-Life® 2's Gravity Gun innovated new ways to leverage an object in any given situation.<br />
					Players must solve physical puzzles and challenges by opening portals to maneuvering objects, and themselves, through space.",Valve,Valve,$9.99,Action,"Single-player, Steam Achievements, Full controller support, Captions available, Camera Comfort, Custom Volume Controls, Save Anytime, Stereo Sound, Subtitle Options, Surround Sound, Includes level editor, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Family Sharing","Oct 10, 2007","{'windows': True, 'mac': False, 'linux': True}",90.0,155985.0
410,Portal: First Slice,demo,True,"Help yourself to a generous, 11-level serving of Portal: First Slice, the official demo for the game that challenges you to think with portals. The winner of numerous Game of the Year awards introduces you to the test chambers at the Aperture Science Enrichment Center, where you'll learn to solve physical puzzles by opening portals to...","Help yourself to a generous, 11-level serving of Portal: First Slice, the official demo for the game that challenges you to think with portals. The winner of numerous Game of the Year awards introduces you to the test chambers at the Aperture Science Enrichment Center, where you'll learn to solve physical puzzles by opening portals to maneuver objects, and yourself, through space. ",Valve,,Free,Action,"Single-player, Game demo, Captions available, Partial Controller Support","May 8, 2008","{'windows': True, 'mac': True, 'linux': False}",90.0,
420,Half-Life 2: Episode Two,game,False,"Half-Life® 2: Episode Two is the second in a trilogy of new games created by Valve that extends the award-winning and best-selling Half-Life® adventure. As Dr. Gordon Freeman, you were last seen exiting City 17 with Alyx Vance as the Citadel erupted amidst a storm of unknown proportions.","Half-Life® 2: Episode Two is the second in a trilogy of new games created by Valve that extends the award-winning and best-selling Half-Life® adventure.<br />
					As Dr. Gordon Freeman, you were last seen exiting City 17 with Alyx Vance as the Citadel erupted amidst a storm of unknown proportions. In Episode Two, you must battle and race against Combine forces as you traverse the White Forest to deliver a crucial information packet stolen from the Citadel to an enclave of fellow resistance scientists.<br />
					Episode Two extends the award-winning Half-Life gameplay with unique weapons, vehicles, and newly-spawned creatures.",Valve,Valve,Free,Action,"Single-player, Steam Achievements, Full controller support, Captions available, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Stats, Includes Source SDK, Commentary available, Family Sharing","Oct 10, 2007","{'windows': True, 'mac': False, 'linux': True}",90.0,34191.0
440,Team Fortress 2,game,True,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!","<p class=""bb_paragraph""><strong>&quot;The most fun you can have online&quot;</strong> - PC Gamer</p><p class=""bb_paragraph""></p><p class=""bb_paragraph"">									 <strong>Is now FREE!</strong></p><p class=""bb_paragraph""></p><p class=""bb_paragraph"">									 There’s no catch! Play as much as you want, as long as you like!</p><p class=""bb_paragraph"">									 <strong>The most highly-rated free game of all time!</strong></p><p class=""bb_paragraph""></p><p class=""bb_paragraph"">									 One of the most popular online action games of all time, Team Fortress 2 delivers constant free updates—new game modes, maps, equipment and, most importantly, hats. Nine distinct classes provide a broad range of tactical abilities and personalities, and lend themselves to a variety of player skills.</p><p class=""bb_paragraph"">									 <strong>New to TF? Don’t sweat it!</strong></p><p class=""bb_paragraph""></p><p class=""bb_paragraph"">									 No matter what your style and experience, we’ve got a character for you. Detailed training and offline practice modes will help you hone your skills before jumping into one of TF2’s many game modes, including Capture the Flag, Control Point, Payload, Arena, King of the Hill and more.</p><p class=""bb_paragraph"">									 <strong>Make a character your own!</strong></p><p class=""bb_paragraph""></p><p class=""bb_paragraph"">									 There are hundreds of weapons, hats and more to collect, craft, buy and trade. Tweak your favorite class to suit your gameplay style and personal taste. You don’t need to pay to win—virtually all of the items in the Mann Co. Store can also be found in-game.</p><p class=""bb_paragraph"">									</p><p class=""bb_paragraph"">									</p>",Valve,Valve,Free,"Action, Free To Play","Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, In-App Purchases, Camera Comfort, Color Alternatives, Custom Volume Controls, Stereo Sound, Surround Sound, Partial Controller Support, Valve Anti-Cheat enabled, Stats, Includes level editor, Commentary available, Remote Play on Phone, Remote Play on Tablet","Oct 10, 2007","{'windows': True, 'mac': False, 'linux': True}",92.0,43226.0
500,Left 4 Dead,game,False,"From Valve (the creators of Counter-Strike, Half-Life and more) comes Left 4 Dead, a co-op action horror game for the PC and Xbox 360 that casts up to four players in an epic struggle for survival against swarming zombie hordes and terrifying mutant monsters.","From Valve (the creators of Counter-Strike, Half-Life and more) comes Left 4 Dead, a co-op action horror game for the PC and Xbox 360 that casts up to four players in an epic struggle for survival against swarming zombie hordes and terrifying mutant monsters.<br><br>Set in the immediate aftermath of the zombie apocalypse, L4D's survival co-op mode lets you blast a path through the infected in four unique “movies,” guiding your survivors across the rooftops of an abandoned metropolis, through rural ghost towns and pitch-black forests in your quest to escape a devastated Ground Zero crawling with infected enemies. Each &quot;movie&quot; is comprised of five large maps, and can be played by one to four human players, with an emphasis on team-based strategy and objectives.  <br><br>New technology dubbed &quot;the AI Director&quot; is used to generate a unique gameplay experience every time you play. The Director tailors the frequency and ferocity of the zombie attacks to your performance, putting you in the middle of a fast-paced, but not overwhelming, Hollywood horror movie. <br><br><ul class=""bb_ul""><li>Addictive single player, co-op, and multiplayer action gameplay from the makers of Counter-Strike and Half-Life                    <br>					</li><li>Versus Mode lets you compete four-on-four with friends, playing as a human trying to get rescued, or as a zombie boss monster that will stop at nothing to destroy them.<br>					</li><li>See how long you and your friends can hold out against the infected horde in the new Survival Mode<br>					</li><li>An advanced AI director dynamically creates intense and unique experiences every time the game is played                     <br>					</li><li>20 maps, 10 weapons and unlimited possibilities in four sprawling &quot;movies&quot;                     <br>					</li><li>Matchmaking, stats, rankings, and awards system drive collaborative play                     <br>					</li><li>Designer's Commentary allows gamers to go &quot;behind the scenes&quot; of the game                     <br>					</li><li>Powered by Source and Steam                     </li></ul><h2 class=""bb_tag"">THE SACRIFICE</h2><div class=""bb_img_ctn""><img class=""bb_img"" src=""https://cdn.akamai.steamstatic.com/steam/apps/550/extras/pageRibbon.jpg"" /></div>&quot;The Sacrifice” is  the new add-on for Left 4 Dead.<br><br>&quot;The Sacrifice&quot; is the prequel to &quot;The Passing,&quot; and takes place from the L4D Survivors' perspective as they make their way South. In addition to advancing the story, &quot;The Sacrifice&quot; introduces a new style finale featuring &quot;Sacrificial Gameplay&quot; where players get to decide who will give their life so the others may live.<br><br>In The Sacrifice for Left 4 Dead owners receive &quot;The Sacrifice&quot; campaign playable in Campaign, Versus,  and Survival modes.",Valve,Valve,$9.99,Action,"Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Captions available, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Stereo Sound, Surround Sound, Steam Cloud, Valve Anti-Cheat enabled, Stats, Steam Leaderboards, Includes Source SDK, Commentary available, Remote Play on TV, Family Sharing","Nov 17, 2008","{'windows': True, 'mac': False, 'linux': False}",89.0,53244.0
550,Left 4 Dead 2,game,False,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.","Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008.  This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns. <br><br>You'll play as one of four new survivors armed with a wide and devastating array of classic and upgraded weapons. In addition to firearms, you'll also get a chance to take out some aggression on infected with a variety of carnage-creating melee weapons, from chainsaws to axes and even the deadly frying pan. You'll be putting these weapons to the test against (or playing as in Versus) three horrific and formidable new Special Infected. You'll also encounter five new uncommon common infected, including the terrifying Mudmen.<br><br>Helping to take L4D's frantic, action-packed gameplay to the next level is AI Director 2.0. This improved Director has the ability to procedurally change the weather you'll fight through and the pathways you'll take, in addition to tailoring the enemy population, effects, and sounds to match your performance. L4D2 promises a satisfying and uniquely challenging experience every time the game is played, custom-fitted to your style of play.<br><br><ul class=""bb_ul""><li>Next generation co-op action gaming from the makers of Half-Life, Portal, Team Fortress and Counter-Strike.<br></li><li>Over 20 new weapons &amp; items headlined by over 10 melee weapons – axe, chainsaw, frying pan, baseball bat – allow you to get up close with the zombies<br></li><li>New survivors. New Story. New dialogue. <br></li><li>Five expansive campaigns for co-operative, Versus and Survival game modes.<br></li><li>An all new multiplayer mode.<br></li><li>Uncommon common infected. Each of the five new campaigns contains at least one new uncommon common zombies which are exclusive to that campaign. <br></li><li>AI Director 2.0: Advanced technology dubbed The AI Director drove L4D's unique gameplay – customizing enemy population, effects, and music, based upon the players’ performance. L4D 2 features The AI Director 2.0 which expands the Director’s ability to customize level layout, world objects, weather, and lighting to reflect different times of day.<br></li><li>Stats, rankings, and awards system drives collaborative play<br>                    </li></ul>",Valve,Valve,$9.99,Action,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Stereo Sound, Surround Sound, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing, Steam Timeline","Nov 16, 2009","{'windows': True, 'mac': False, 'linux': True}",89.0,745301.0
570,Dota 2,game,True,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.","<strong>The most-played game on Steam.</strong><br>Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has truly taken on a life of its own.<br><br><strong>One Battlefield. Infinite Possibilities.</strong><br>When it comes to diversity of heroes, abilities, and powerful items, Dota boasts an endless array—no two games are the same. Any hero can fill multiple roles, and there's an abundance of items to help meet the needs of each game. Dota doesn't provide limitations on how to play, it empowers you to express your own style.<br><br><strong>All heroes are free.</strong><br>Competitive balance is Dota's crown jewel, and to ensure everyone is playing on an even field, the core content of the game—like the vast pool of heroes—is available to all players. Fans can collect cosmetics for heroes and fun add-ons for the world they inhabit, but everything you need to play is already included before you join your first match.<br><br><strong>Bring your friends and party up.</strong><br>Dota is deep, and constantly evolving, but it's never too late to join. <br>Learn the ropes playing co-op vs. bots. Sharpen your skills in the hero demo mode. Jump into the behavior- and skill-based matchmaking system that ensures you'll <br>be matched with the right players each game.",Valve,Valve,Free,"Action, Strategy, Free To Play","Multi-player, Co-op, Steam Trading Cards, Steam Workshop, SteamVR Collectibles, In-App Purchases, Camera Comfort, Color Alternatives, Custom Volume Controls, Valve Anti-Cheat enabled, Steam Timeline","Jul 9, 2013","{'windows': True, 'mac': True, 'linux': True}",90.0,14358.0
